Male,"

""Ja hvis ikke GS senere for andre interesser, der er større og hvor det kan betale sig at modarbejde DONG med en endnu større gevinst eller mindre tab til følge.""

... Hvilket de er kendt for at gøre uden at tøve et sekund:

Goldman Sachs Group Inc. (GS) designed, marketed and sold collateralized debt obligations that misled investors and created conflicts of interest as the company built short positions before the U.S. housing market collapsed, a Senate panel said in its report on the financial crisis.

In the case of one CDO, Hudson Mezzanine, Goldman Sachs told investors its interests were aligned with theirs while the firm held 100 percent of the short side, according to the report released today by the Senate’s Permanent Subcommittee on Investigations. Senator Carl Levin, the Michigan Democrat who leads the panel, urged regulators to review all of the structured finance transactions described in the report.

At a briefing today, Levin said he believed Goldman Sachs executives weren’t truthful about the company’s transactions in testimony before the subcommittee at an April 2010 hearing. He said he would refer the testimony to the Justice Department for possible perjury charges.

“In my judgment, Goldman clearly misled their clients and they misled the Congress,” Levin said.

With today’s release, the Senate panel completes a two-year investigation of mortgage firms, federal regulators and Wall Street banks highlighted by the expletive-laden interrogation of Goldman Sachs executives including Chairman and Chief Executive Officer Lloyd Blankfein a year ago this month.

“Our investigation found a financial snake pit rife with greed, conflicts of interest, and wrongdoing,” Levin told reporters today. ",1,1,2,0.5
Male,"Den neoliberale revolution, der har siden 1980 har gået sin TINA sejrsgang gennem verden bekræfter, at angreb er det bedste forsvar.  Neoliberalismens indtog og finanskapitalismens magtovertagelse var nemlig netop et forsvar for en nødlidende, måske dødmærket kapitalisme.  Det var derfor, at klassekompromiset mellem arbejde og kapital, der havde været den vestlige kapitalismes og de socialdemokratiske partiers svar på russernes sejr i anden verdenskrig, blev aflyst og den utilslørede klassekamp genindført.  Som en af verdens rigeste mænd, spekulanten og investoren Warren Buffett udtrykte det: <i>'There's class warfare, all right, but it's my class, the rich class, that's making war, and we're winning.'</i>  Nemlig.

Men her er det interessante.  Forsvar er også nogle gange det bedste angreb.  Hvis man kan forhindre den angribende i at nå sine mål eller bare forsinke angrebet, kan man svække fjenden betragteligt.  Hvis man kan forhindre eller bare forsinke salget af Dong til Goldman Sachs, for eksempel, har man svækket den neoliberale bølge betydeligt.  Som det fremgår af disse dages debat, så opfatter den neoliberale junta dette som en voldsom trussel mod deres planer og måske fremtid.  Det bør vi bide mærke i.  En lille tue kan her vælte et stort læs, og selv kvikke piger (og drenge) med en pind, kan stikke en kæp i hjulet på juggernauten.  Den er meget mere sårbar end vi tror.  Så lad os finde flere pinde, vi behøver ikke først kræve et verdensrevolutionært program, et almindeligt forsvar for almindelige mennesker og deres verden er offensivt nok, og til at forstå for alle. ",6,2,8,0.75
Male,"S for ""sellout""!
Her gik jeg i min egen naive overbevisning om, at det her er borgerlig liberal økonomisk tænkning om noget. At sælge en del af vores alles DONG og så til en storsvindler som Guldmand Saks... 

Det er fanme nogle falmede røde faner der blafrer bag dig Corydon!

De 8 milliarder, kunne i sgu hive ud af pamper pumperne i nordsøen, til vores alles fælles bedste, hvis altså de virkelig mangler. Dermed kunne man samtidig bevise at man er den røde taburet værdig, man er stemt ind på...

Af med din falmede røde kappe og vis og din sande blå identitet...
Din smølf... Din ulv...

""bredt forlig"" tsk tsk tsk",7,6,13,0.5384615384615384
Male,"Sosserne og suverænitetsafgivelse

Den egentlige katastrofe for det oplyste demokrati kunne man ved selvsyn opleve i aftenens Deadline …

Et intellektuelt fyrtårn fra RV – oven i købet fordamen for finansudvalget – fablede om et udsalgsprojekt med købsbetingelser - hverken hun eller de fleste andre medlemmer af udvalget umuligt kan have forstand på – eller have det fulde overblik over - grundet manglende svar på helt fundamentale spørgsmål – endnu en RV budding på katastrofekurs med det parlamentariske demokrati – et stykke stemmekvæg i rendyrket form …

Dette projekt er i realiteten et eksemplarisk tilfælde af suverænitetsafgivelse – denne gang til et temmelig betændt foretagende – som stiller hidtil usete krav til suverænen – den danske stat …

For ikke så lang tid siden måtte vi opleve en jysk husmandssøn kalde til krig i det fjerne – allieret med en amerikansk krigshetzer – nu kan vi så opleve en anden jyde anbefale, at vi skal alliere os med en amerikansk finansskurk – begge dele udtryk for katastrofale paradigmeskift i den danske politik – gennemført med kuplignende metoder ingen vel nogensinde havde drømt om kunne forekomme i vores ellers gennem mange år cementerede demokratiske retsordning …

I vil aldrig blive glemt ...
",9,2,11,0.8181818181818182
Female,"""We shall have a cheap and chearful transportation service for the masses, and a fast, reliable and exquisite one for the executives"".

Filo, det gør jeg herefter heller ikke. Heelt vildt",1,0,1,1.0
Female,"Simon, der er ikke nogen, der beder dig tage sådan en pille. Du kan være helt rolig.",1,0,1,1.0
Male,"Helle-Thorning blev leder ved en demokratisk afstemning i partiet i kamp mod Frank Jensen, At medlemmerne valgte hende, kan man så undre sig over, selvom hun var sej, så godt ud, og sagde, hun kunne slå Anders Fogh. Desværre tror jeg, at mange gamle socialdemokrater har fortrudt det valg, men det er de jo ikke noget at gøre ved nu.",0,1,1,0.0
Male,"Jamen Alan Strandbygaard - Velfærd er da for de velbjergede.

Kan du ikke de Matthæus:

""Thi den, som har, ham skal der gives, og han skal faa Overflod; men den, som ikke har, fra ham skal endog det tages, som han har.""",0,2,2,0.0
Male,"Arbejdspladser ufortalt. Grise har stort set samme fordøjelsessystem som mennesker. Man skal bruge 7 kg planteprotein for at få 1 kg kødprotein. Man kan vel sige, at vi hver dag brødføder 20 millioner personer i DK, Måske skal vi i det hele taget skrue bare lidt ned for kødforbruget, så en større del af verdens hastigt voksende befolkning også har en chance for at gå mætte fra bordet til daglig.   ",4,1,5,0.8
Male,"altså, det her kunne du godt nok have gjort bedre, Martin. Jeg formoder da du kan se hvor fornuften i det her ligger, men selvfølgelig, når man tænker over det,  det vil heller ikke se godt ud hvis en dansk korrospondent støtter denne landsundergravende virksomhed, så det er nok bedst at du ""viser sagen fra begge sider"", så er der ikke noget at komme efter. I hvert fald har du i det mindste holdt opmærksomheden omkring det i live, det er i sig selv en god ting, for det er lissom ved at glide  ind i baggrundsstøjen allerede",1,0,1,1.0
